id,address_id,customer,contact_name,notes,
226,9,Parcher and Murphy,Aliana Mcconnell,Bewitched; The Simpsons,"(226,9,'Parcher and Murphy','Aliana Mcconnell','Bewitched; The Simpsons'),"
330,11,Undercutters Pizza,Alicia Dominguez,A Clockwork Orange,"(330,11,'Undercutters Pizza','Alicia Dominguez','A Clockwork Orange'),"
284,36,Super Club,August Gutierrez,"Wal-Mart-like store, King of the Hill","(284,36,'Super Club','August Gutierrez','Wal-Mart-like store, King of the Hill'),"
343,84,US Midland Air,Dangelo Petersen,Mayday (novel),"(343,84,'US Midland Air','Dangelo Petersen','Mayday (novel)'),"
255,93,Seburo,Delilah Mckenzie,defense Military weaponry manufacturer in DC Comics,"(255,93,'Seburo','Delilah Mckenzie','defense Military weaponry manufacturer in DC Comics'),"
170,100,Meade Publications,Donavan Andersen,"delivery, King of Queens","(170,100,'Meade Publications','Donavan Andersen','delivery, King of Queens'),"
257,110,Shelbyville Nuclear Power Plant,Elliott Morrison,"Shelbyvilles power plant, The Simpsons","(257,110,'Shelbyville Nuclear Power Plant','Elliott Morrison','Shelbyvilles power plant, The Simpsons'),"
166,114,Matsumura Fishworks,Enrique Jacobson,"Japanese Corporation which produced the cleaning product Mr. Sparkle (in a joint venture with Tamaribuchi Heavy Manufacturing Concern), in The Simpsons.","(166,114,'Matsumura Fishworks','Enrique Jacobson','Japanese Corporation which produced the cleaning product Mr. Sparkle (in a joint venture with Tamaribuchi Heavy Manufacturing Concern), in The Simpsons.'),"
4,116,Ace Tomato Company,Estrella Salazar,"Front for the current form of the Knights Templar, bent on establishing a New World Order in Assassins Creed.","(4,116,'Ace Tomato Company','Estrella Salazar','Front for the current form of the Knights Templar, bent on establishing a New World Order in Assassins Creed.'),"
111,118,Fuji Air,Fernanda Webster,The Concorde...Airport 79,"(111,118,'Fuji Air','Fernanda Webster','The Concorde...Airport 79'),"
88,119,"Dinosaur World, theme park",Francisco Steele,Midnight Club 3: Dub Edition,"(88,119,'Dinosaur World, theme park','Francisco Steele','Midnight Club 3: Dub Edition'),"
301,145,The Regal Beagle,Heaven Carpenter,Family Guy,"(301,145,'The Regal Beagle','Heaven Carpenter','Family Guy'),"
203,151,North Central Positronics,Isabella Mueller,The Matrix,"(203,151,'North Central Positronics','Isabella Mueller','The Matrix'),"
265,167,Skarloey Railway,Jeffrey Jennings,Popeye,"(265,167,'Skarloey Railway','Jeffrey Jennings','Popeye'),"
84,180,Devlin MacGregor,Jovanny Chambers,Makers of Provasic in The Fugitive,"(84,180,'Devlin MacGregor','Jovanny Chambers','Makers of Provasic in The Fugitive'),"
282,186,Sunshine Desserts,Kadence Campbell,Marshmallow maker in Ghostbusters,"(282,186,'Sunshine Desserts','Kadence Campbell','Marshmallow maker in Ghostbusters'),"
252,189,Roxxon,Kailey Henderson,The Dark Tower books,"(252,189,'Roxxon','Kailey Henderson','The Dark Tower books'),"
365,196,X-Com,Karson Rodriguez,"defense/energy/biotech, Doom","(365,196,'X-Com','Karson Rodriguez','defense/energy/biotech, Doom'),"
336,262,United Northfield/U-North,Meredith Hendrix,An agricultural products conglomerate from the film Michael Clayton,"(336,262,'United Northfield/U-North','Meredith Hendrix','An agricultural products conglomerate from the film Michael Clayton'),"
215,266,Optican,Milagros Frazier,health supply company in the Halo franchise,"(215,266,'Optican','Milagros Frazier','health supply company in the Halo franchise'),"
341,270,Uplink Corporation,Moises Contreras,George Jetsons employer in The Jetsons,"(341,270,'Uplink Corporation','Moises Contreras','George Jetsons employer in The Jetsons'),"
191,272,Multi-National United (MNU),Monserrat Warren,District 9,"(191,272,'Multi-National United (MNU)','Monserrat Warren','District 9'),"
76,328,Daddy Greens Pizza,Santiago Trevino,My Name Is Earl,"(76,328,'Daddy Greens Pizza','Santiago Trevino','My Name Is Earl'),"
223,349,Panda Modem,Teagan Hernandez,The Dark Tower books,"(223,349,'Panda Modem','Teagan Hernandez','The Dark Tower books'),"
182,362,Mode Magazine,Valentino Potter, The Hitchhikers Guide to the Galaxy,"(182,362,'Mode Magazine','Valentino Potter',' The Hitchhikers Guide to the Galaxy'),"
271,8,Southport Brickworks,Alexandra Tyler,Strong enterprise from the comic book and the movie Watchmen.,"(271,8,'Southport Brickworks','Alexandra Tyler','Strong enterprise from the comic book and the movie Watchmen.'),"
267,13,Sloane Curtis Advertising,Alisha Caldwell,Mad Men,"(267,13,'Sloane Curtis Advertising','Alisha Caldwell','Mad Men'),"
254,15,Scavos Pizzeria,Alonso Cisneros,A pub on Threes Company.,"(254,15,'Scavos Pizzeria','Alonso Cisneros','A pub on Threes Company.'),"
174,25,Mels Diner,Angelique Mejia,"fast food restaurant, very similar to McDonalds","(174,25,'Mels Diner','Angelique Mejia','fast food restaurant, very similar to McDonalds'),"
314,27,Trans Global Airlines (TGA),Angie Gutierrez,Turbulence,"(314,27,'Trans Global Airlines (TGA)','Angie Gutierrez','Turbulence'),"
275,58,Springfield Nuclear Power Plant,Camille Holland,"work place of Homer Simpson, The Simpsons","(275,58,'Springfield Nuclear Power Plant','Camille Holland','work place of Homer Simpson, The Simpsons'),"
155,64,LexCorp,Cassandra Mccoy,Lex Luthors company in the Superman universe,"(155,64,'LexCorp','Cassandra Mccoy','Lex Luthors company in the Superman universe'),"
14,77,Allied British Plastics,Cristina Knight,"Pokémon (Red/Green/Blue/Yellow and Gold/Silver/Crystal video games, Pokémon Adventures manga)","(14,77,'Allied British Plastics','Cristina Knight','Pokémon (Red/Green/Blue/Yellow and Gold/Silver/Crystal video games, Pokémon Adventures manga)'),"
251,98,Roxxon,Deshawn Summers,oil company in Marvel Comics titles,"(251,98,'Roxxon','Deshawn Summers','oil company in Marvel Comics titles'),"
136,128,Hoopers Store,Gemma Singleton,"parody of Fredericks, ""Hollwood Plucky"", Tiny Toon Adventures","(136,128,'Hoopers Store','Gemma Singleton','parody of Fredericks, ""Hollwood Plucky"", Tiny Toon Adventures'),"
133,131,HDS,Geovanni Lawson,Desperate Housewives,"(133,131,'HDS','Geovanni Lawson','Desperate Housewives'),"
300,141,The Queen Victoria,Harmony Beltran,Coronation Street,"(300,141,'The Queen Victoria','Harmony Beltran','Coronation Street'),"
231,154,Planet Express,Izabelle Stuart,Ace Ventura,"(231,154,'Planet Express','Izabelle Stuart','Ace Ventura'),"
242,160,RAMJAC Corporation,Jamya Mcfarland,Jailbird and other novels by Kurt Vonnegut,"(242,160,'RAMJAC Corporation','Jamya Mcfarland','Jailbird and other novels by Kurt Vonnegut'),"
13,169,Albatross Air Service,Jermaine Taylor,Lost,"(13,169,'Albatross Air Service','Jermaine Taylor','Lost'),"
22,176,Arctic & European Fish Oil Company,Jordan Robinson,A weapons manufacturer based in New York City and run by Jean-Baptiste Emmanuel Zorg in the film The Fifth Element,"(22,176,'Arctic & European Fish Oil Company','Jordan Robinson','A weapons manufacturer based in New York City and run by Jean-Baptiste Emmanuel Zorg in the film The Fifth Element'),"
158,177,London and West Coast Railway,Joshua Callahan,Thomas the Tank Engine,"(158,177,'London and West Coast Railway','Joshua Callahan','Thomas the Tank Engine'),"
43,183,Brown Streak Railroad,Juliana Salinas,Thomas the Tank Engine,"(43,183,'Brown Streak Railroad','Juliana Salinas','Thomas the Tank Engine'),"
8,185,Aeromass,Justin Odonnell,Flightplan,"(8,185,'Aeromass','Justin Odonnell','Flightplan'),"
6,212,Acme Corporation (A wholley-owned subsidiary of Roadrunner Corp.),Kristen Leblanc,"Used in the Looney Tunes Cartoons, most famous for being featured in the ""Roadrunner"" cartoon.","(6,212,'Acme Corporation (A wholley-owned subsidiary of Roadrunner Corp.)','Kristen Leblanc','Used in the Looney Tunes Cartoons, most famous for being featured in the ""Roadrunner"" cartoon.'),"
197,223,North Central Positronics,Leland Roberson,The corporation behind the televised death-matches in Epic Games Unreal videogame series,"(197,223,'North Central Positronics','Leland Roberson','The corporation behind the televised death-matches in Epic Games Unreal videogame series'),"
151,226,KrebStar,Lillianna Black,Manufacturer of everything from breakfast cereal to sneakers to mentholated hot lather machines in The Adventures of Pete & Pete.,"(151,226,'KrebStar','Lillianna Black','Manufacturer of everything from breakfast cereal to sneakers to mentholated hot lather machines in The Adventures of Pete & Pete.'),"
53,244,CHOAM,Makena Hatfield,Combine Honnete Ober Advancer Mercantiles Interstellar corporation which controls all     economic activity in the Padishah Empire,"(53,244,'CHOAM','Makena Hatfield','Combine Honnete Ober Advancer Mercantiles Interstellar corporation which controls all     economic activity in the Padishah Empire'),"
202,246,North Central Positronics,Makhi Underwood,"androids, Futurama","(202,246,'North Central Positronics','Makhi Underwood','androids, Futurama'),"
243,248,Ravenwood,Malcolm Mendoza,Catch-22,"(243,248,'Ravenwood','Malcolm Mendoza','Catch-22'),"
154,251,Laceys,Mariela Sampson,"convenience store, Sesame Street","(154,251,'Laceys','Mariela Sampson','convenience store, Sesame Street'),"
325,253,Ultor Corporation,Maritza Hancock,"A megacorporation that serves as the primary antagonist in both Saints Row and Red Faction, video games developed by Volition, Inc.","(325,253,'Ultor Corporation','Maritza Hancock','A megacorporation that serves as the primary antagonist in both Saints Row and Red Faction, video games developed by Volition, Inc.'),"
41,258,Bonk Business,Maximus Shelton,"similar to Acme, appears in recent Mickey Mouse cartoons as a manufacturing company and services company.[2]","(41,258,'Bonk Business','Maximus Shelton','similar to Acme, appears in recent Mickey Mouse cartoons as a manufacturing company and services company.[2]'),"
190,265,Muffin Buffalo,Miguel Whitaker,The Simpsons,"(190,265,'Muffin Buffalo','Miguel Whitaker','The Simpsons'),"
139,271,InGen,Monique Swanson,Creators of the dinosaurs in Jurassic Park and its sequels.,"(139,271,'InGen','Monique Swanson','Creators of the dinosaurs in Jurassic Park and its sequels.'),"
15,275,Allied Transamerica,Natasha Camacho,Grand Theft Auto IV,"(15,275,'Allied Transamerica','Natasha Camacho','Grand Theft Auto IV'),"
3,276,Abstergo Industries,Nehemiah Conley,"See also: List of fictional radio stations, List of fictional television stations, List of fictional record companies","(3,276,'Abstergo Industries','Nehemiah Conley','See also: List of fictional radio stations, List of fictional television stations, List of fictional record companies'),"
356,287,Wayne Enterprises,Osvaldo Leblanc,Bruce Waynes company featured in Batman,"(356,287,'Wayne Enterprises','Osvaldo Leblanc','Bruce Waynes company featured in Batman'),"
245,294,Resources Development Administration (RDA),Phoebe Richmond,The earth based planetary mining company in the Dead Space video game series.,"(245,294,'Resources Development Administration (RDA)','Phoebe Richmond','The earth based planetary mining company in the Dead Space video game series.'),"
19,295,Angel Investigations,Pierre Davidson,Desperate Housewives,"(19,295,'Angel Investigations','Pierre Davidson','Desperate Housewives'),"
272,304,Soylent Corporation,Regan Wilkinson,"Wonder Falls, Pushing Daisies","(272,304,'Soylent Corporation','Regan Wilkinson','Wonder Falls, Pushing Daisies'),"
143,308,IPS,Remington Morse,"delivery, Futurama","(143,308,'IPS','Remington Morse','delivery, Futurama'),"
163,310,Maroon Cartoons,Richard Morales,"animation studio, Who Framed Roger Rabbit","(163,310,'Maroon Cartoons','Richard Morales','animation studio, Who Framed Roger Rabbit'),"
160,311,M & M Enterprises,Rigoberto Haney,"from Clifford, a 1994 motion picture.","(160,311,'M & M Enterprises','Rigoberto Haney','from Clifford, a 1994 motion picture.'),"
81,312,Daystrom Data Concepts,Riley Hernandez,"robotics, The Terminator series","(81,312,'Daystrom Data Concepts','Riley Hernandez','robotics, The Terminator series'),"
294,314,The Hanso Foundation,Rodrigo Harrell,Lost,"(294,314,'The Hanso Foundation','Rodrigo Harrell','Lost'),"
44,318,Buy More,Russell Beasley,"comic books and collectibles, The Simpsons","(44,318,'Buy More','Russell Beasley','comic books and collectibles, The Simpsons'),"
55,330,Cinco,Sarai Blanchard,The Dark Tower books,"(55,330,'Cinco','Sarai Blanchard','The Dark Tower books'),"
192,333,N.E.R.D.,Selina Martinez,"Nucleic Exchange, Research and Development, Splice","(192,333,'N.E.R.D.','Selina Martinez','Nucleic Exchange, Research and Development, Splice'),"
24,339,Armacham Technology Corporation (ATC),Stephanie Ellis,From the TV show of the same name.,"(24,339,'Armacham Technology Corporation (ATC)','Stephanie Ellis','From the TV show of the same name.'),"
144,353,Itex,Tiana Stevenson,A multinational corporation and the primary antagonist of the Maximum Ride series of novels.,"(144,353,'Itex','Tiana Stevenson','A multinational corporation and the primary antagonist of the Maximum Ride series of novels.'),"
78,2,Daily Planet,Adelaide Hayes, is a fictional New York City tabloid newspaper from Marvel Comics.[4],"(78,2,'Daily Planet','Adelaide Hayes',' is a fictional New York City tabloid newspaper from Marvel Comics.[4]'),"
293,3,The Goodies,Ahmad Bradford,PvP,"(293,3,'The Goodies','Ahmad Bradford','PvP'),"
277,12,Stay Puft Corporation,Alisa Castillo,manufacturer of synthetic foods in Soylent Green,"(277,12,'Stay Puft Corporation','Alisa Castillo','manufacturer of synthetic foods in Soylent Green'),"
27,17,Atlantic International Airlines (AIA),Alyson Benitez,The Delta Force,"(27,17,'Atlantic International Airlines (AIA)','Alyson Benitez','The Delta Force'),"
177,20,Mid Sodor Railway,Amiya Friedman,Ivor the Engine,"(177,20,'Mid Sodor Railway','Amiya Friedman','Ivor the Engine'),"
340,21,Universal Terraforming,Amiya Villegas,Corporation involved in the terraforming & development of colony planets in human space Babylon 5,"(340,21,'Universal Terraforming','Amiya Villegas','Corporation involved in the terraforming & development of colony planets in human space Babylon 5'),"
29,23,Bada Bing,Anabelle Booth,Silvio Dantes strip club,"(29,23,'Bada Bing','Anabelle Booth','Silvio Dantes strip club'),"
289,24,TetraCorp,Andrea Meadows,The other powerful multinational in System Shock.,"(289,24,'TetraCorp','Andrea Meadows','The other powerful multinational in System Shock.'),"
5,29,Acme,Anika Woodward,manufactirers of TIE fighters in Star Wars,"(5,29,'Acme','Anika Woodward','manufactirers of TIE fighters in Star Wars'),"
105,35,FatEx,Ashlynn Franco,Midnight Club 3: Dub Edition,"(105,35,'FatEx','Ashlynn Franco','Midnight Club 3: Dub Edition'),"
194,37,Nergal Heavy Industries,Autumn Herrera,manufacturers of X-wing fighters in Star Wars,"(194,37,'Nergal Heavy Industries','Autumn Herrera','manufacturers of X-wing fighters in Star Wars'),"
103,47,Ewing Oil,Bernard Hansen,"Toy Story, Cars","(103,47,'Ewing Oil','Bernard Hansen','Toy Story, Cars'),"
290,51,The Androids Dungeon,Breanna Bright,The Tom Green Show,"(290,51,'The Androids Dungeon','Breanna Bright','The Tom Green Show'),"
224,53,Paper Street Soap Company,Brennen Riddle,"Parent company of Wacky Products Incorporated, Happy Fun Ball.","(224,53,'Paper Street Soap Company','Brennen Riddle','Parent company of Wacky Products Incorporated, Happy Fun Ball.'),"
256,54,Sheinhardt Wig Company,Bridget Spears,Subsidiary of General Electric and owner of NBC in 30 Rock,"(256,54,'Sheinhardt Wig Company','Bridget Spears','Subsidiary of General Electric and owner of NBC in 30 Rock'),"
278,56,Sterling-Cooper (later Sterling-Cooper-Draper-Price),Cailyn Griffin,Desperate Housewives,"(278,56,'Sterling-Cooper (later Sterling-Cooper-Draper-Price)','Cailyn Griffin','Desperate Housewives'),"
348,59,Volée Airlines,Carina Brennan,Knight and Day,"(348,59,'Volée Airlines','Carina Brennan','Knight and Day'),"
364,61,Worldwide Air Courier,Carlo Garrison,Salesforce,"(364,61,'Worldwide Air Courier','Carlo Garrison','Salesforce'),"
37,65,Blaidd Dwrg Nuclear Power Plant,Cassius Taylor,Doctor Who,"(37,65,'Blaidd Dwrg Nuclear Power Plant','Cassius Taylor','Doctor Who'),"
48,72,Canada World Airways,Cohen Cardenas,Passenger 57,"(48,72,'Canada World Airways','Cohen Cardenas','Passenger 57'),"
164,83,MARS Industries,Dangelo Kramer,defense Military weaponry manufacturer in the Cube films,"(164,83,'MARS Industries','Dangelo Kramer','defense Military weaponry manufacturer in the Cube films'),"
175,90,Merioneth and Lantisilly Rail Traction Company Limited,Darius Cameron,The Lost Special,"(175,90,'Merioneth and Lantisilly Rail Traction Company Limited','Darius Cameron','The Lost Special'),"
137,95,Incite Inc.,Denzel Pollard,Kirby,"(137,95,'Incite Inc.','Denzel Pollard','Kirby'),"
304,99,The Woolpack,Dominic Turner,EastEnders,"(304,99,'The Woolpack','Dominic Turner','EastEnders'),"
201,103,North Central Positronics,Dustin Sanford,The Dark Tower books,"(201,103,'North Central Positronics','Dustin Sanford','The Dark Tower books'),"
142,112,Inversion Layer Airlines,Emily Williams,Spitting Image,"(142,112,'Inversion Layer Airlines','Emily Williams','Spitting Image'),"
34,120,Big Kahuna Burger,Frankie Lucero,fast food restaurant in the DC Comics universe.,"(34,120,'Big Kahuna Burger','Frankie Lucero','fast food restaurant in the DC Comics universe.'),"
25,132,Astromech,Geovanni Salas,dessert manufacturer in The Fall and Rise of Reginald Perrin.,"(25,132,'Astromech','Geovanni Salas','dessert manufacturer in The Fall and Rise of Reginald Perrin.'),"
369,136,Yoyodyne Propulsion Systems,Gregory Hanson,front company for MI6 agents in the James Bond books and movies.,"(369,136,'Yoyodyne Propulsion Systems','Gregory Hanson','front company for MI6 agents in the James Bond books and movies.'),"
58,137,Columbia Airlines,Gregory Sutton,Falling     from the Sky: Flight 174,"(58,137,'Columbia Airlines','Gregory Sutton','Falling     from the Sky: Flight 174'),"
7,139,Adrians,Hailey Donovan,Wall Street,"(7,139,'Adrians','Hailey Donovan','Wall Street'),"
114,147,General Products,Henry Mckinney,Robotics manufacturer in Watch Dogs 2[1],"(114,147,'General Products','Henry Mckinney','Robotics manufacturer in Watch Dogs 2[1]'),"
71,155,Cyberdyne Systems Corporation,Jace Fernandez,droid manufacturer in Star Wars,"(71,155,'Cyberdyne Systems Corporation','Jace Fernandez','droid manufacturer in Star Wars'),"
328,166,Umbrella Corporation,Jeffery Ingram,Resident Evil,"(328,166,'Umbrella Corporation','Jeffery Ingram','Resident Evil'),"
125,170,Gotham Gazette,Jessica Hurley,Fictional Metropolis Newspaper which employs Clark Kent,"(125,170,'Gotham Gazette','Jessica Hurley','Fictional Metropolis Newspaper which employs Clark Kent'),"
93,171,Duff Beer,Jesus Benjamin,"family-owned brewery featured in the Bill Tidy ""Kegbuster"" cartoon strips.","(93,171,'Duff Beer','Jesus Benjamin','family-owned brewery featured in the Bill Tidy ""Kegbuster"" cartoon strips.'),"
150,179,Korova Milkbar,Jovani Clayton,Emmerdale,"(150,179,'Korova Milkbar','Jovani Clayton','Emmerdale'),"
138,187,Incom Corporation,Kaeden Edwards,"many activities (especially spaceship hulls), Larry Nivens Known Space series","(138,187,'Incom Corporation','Kaeden Edwards','many activities (especially spaceship hulls), Larry Nivens Known Space series'),"
371,192,Ziodex Industries,Kamren Brennan,Makers of cloned blood from Underworld,"(371,192,'Ziodex Industries','Kamren Brennan','Makers of cloned blood from Underworld'),"
196,194,Nordyne Defense Dynamics,Karissa Valdez,Destros Weapons and Manufacturer Company in the G.I. Joe: A Real American Hero storyline.,"(196,194,'Nordyne Defense Dynamics','Karissa Valdez','Destros Weapons and Manufacturer Company in the G.I. Joe: A Real American Hero storyline.'),"
146,198,Judgment Six,Kathryn Monroe,Virtua Fighter series,"(146,198,'Judgment Six','Kathryn Monroe','Virtua Fighter series'),"
99,200,ENCOM International,Keenan Beltran,"computer design and manufacturing, Star Trek","(99,200,'ENCOM International','Keenan Beltran','computer design and manufacturing, Star Trek'),"
329,202,Umbrella Corporation,Kennedy Potter,Resident Evil,"(329,202,'Umbrella Corporation','Kennedy Potter','Resident Evil'),"
1,208,AALTO Airlines,Kinsley Glover,microchip technology in A View to a Kill,"(1,208,'AALTO Airlines','Kinsley Glover','microchip technology in A View to a Kill'),"
244,210,Rekall,Konnor Winters,computer Technology software manufacturer in DC Comics,"(244,210,'Rekall','Konnor Winters','computer Technology software manufacturer in DC Comics'),"
109,211,FrobozzCo International,Korbin Padilla,Zork,"(109,211,'FrobozzCo International','Korbin Padilla','Zork'),"
228,213,Peach Pit,Kristin Guzman,frozen yogurt shop,"(228,213,'Peach Pit','Kristin Guzman','frozen yogurt shop'),"
355,218,Water & Power Corporation (W&P),Lainey Sanders,Tank Girl,"(355,218,'Water & Power Corporation (W&P)','Lainey Sanders','Tank Girl'),"
225,222,Paradise Airlines,Leanna Barrett,Spitting Image,"(225,222,'Paradise Airlines','Leanna Barrett','Spitting Image'),"
342,227,Upton-Webber,Lincoln Spence,Working,"(342,227,'Upton-Webber','Lincoln Spence','Working'),"
120,230,Global Chemical Unlimited,Logan Bautista,from The People series,"(120,230,'Global Chemical Unlimited','Logan Bautista','from The People series'),"
132,236,Hanso Foundation,Luka Henderson,Lost,"(132,236,'Hanso Foundation','Luka Henderson','Lost'),"
357,245,Weasleys Wizard Wheezes,Makhi Marshall,"warehouse club, Employee of the Month","(357,245,'Weasleys Wizard Wheezes','Makhi Marshall','warehouse club, Employee of the Month'),"
345,247,Veridian Dynamics,Malcolm Jarvis,Better Off Ted,"(345,247,'Veridian Dynamics','Malcolm Jarvis','Better Off Ted'),"
67,249,Culdee Fell Railway,Maliyah Mendez,passenger railroad in Grand Theft Auto: San Andreas,"(67,249,'Culdee Fell Railway','Maliyah Mendez','passenger railroad in Grand Theft Auto: San Andreas'),"
287,252,Tamaribuchi Heavy     Manufacturing Concern,Marisol Mendez,"Japanese Corporation which produced the cleaning product Mr. Sparkle (in a joint venture with Matsumura Fishworks), in The Simpsons.","(287,252,'Tamaribuchi Heavy     Manufacturing Concern','Marisol Mendez','Japanese Corporation which produced the cleaning product Mr. Sparkle (in a joint venture with Matsumura Fishworks), in The Simpsons.'),"
153,256,Kwik-E-Mart,Maverick Eaton,Large discount store in The Simpsons.,"(153,256,'Kwik-E-Mart','Maverick Eaton','Large discount store in The Simpsons.'),"
234,263,Primatech Paper Co.,Messiah Dennis,A gentlemans club The Wire,"(234,263,'Primatech Paper Co.','Messiah Dennis','A gentlemans club The Wire'),"
327,268,Umbrella Corporation,Miracle Foster,"video games, Nintendos Mario universe","(327,268,'Umbrella Corporation','Miracle Foster','video games, Nintendos Mario universe'),"
249,290,Rossums Universal Robots,Paul Frederick,makers of RoboCop,"(249,290,'Rossums Universal Robots','Paul Frederick','makers of RoboCop'),"
214,292,Onion Pacific Railroad,Philip Oconnor,The Railway Children,"(214,292,'Onion Pacific Railroad','Philip Oconnor','The Railway Children'),"
305,299,Tidis,Ralph Richards,Bicentennial Man,"(305,299,'Tidis','Ralph Richards','Bicentennial Man'),"
302,309,The Tangiers,Renee Chambers,"CSI: Crime Scene Investigation Hotel and Casino owned by Catherines father, numerous episodes, demolished during Built to Kill, Part 1","(302,309,'The Tangiers','Renee Chambers','CSI: Crime Scene Investigation Hotel and Casino owned by Catherines father, numerous episodes, demolished during Built to Kill, Part 1'),"
83,319,Deon International,Russell Hodges,"Owned by Larry Deon. Appeared in seaQuest 2032 and seemed to be involved in many different industries including, but not limited to, Military defense and weaponry, technology, Owned the fictional sports team Deon Demons, air travel, metals and technological assets.","(83,319,'Deon International','Russell Hodges','Owned by Larry Deon. Appeared in seaQuest 2032 and seemed to be involved in many different industries including, but not limited to, Military defense and weaponry, technology, Owned the fictional sports team Deon Demons, air travel, metals and technological assets.'),"
218,331,Orlandos,Savanna Harper,CIA front in Spies Like Us,"(218,331,'Orlandos','Savanna Harper','CIA front in Spies Like Us'),"
102,337,Ewing Oil,Skylar Skinner,The family oil company in Dallas.,"(102,337,'Ewing Oil','Skylar Skinner','The family oil company in Dallas.'),"
161,350,Magic School,Teresa Sanders,paranormal pest control,"(161,350,'Magic School','Teresa Sanders','paranormal pest control'),"
95,352,Ecumena,Thalia Robbins,Hospital/health care chain in St. Elsewhere (the producers were sued by Humana anyhow)[1],"(95,352,'Ecumena','Thalia Robbins','Hospital/health care chain in St. Elsewhere (the producers were sued by Humana anyhow)[1]'),"
35,355,Binford,Travis Hubbard,Industrial Manufacturer from the Home Improvement television series.,"(35,355,'Binford','Travis Hubbard','Industrial Manufacturer from the Home Improvement television series.'),"
